2026-03-19 14:49:24 - test_number,setpoint_position_%,feedback_position_,rotation_direction,internal_temperature_deg_C,motor_torque_Nmm,power_W
2026-03-19 14:49:25 - +1, 080.0, 079.9,0, 28.5,+00.0,+000.0
2026-03-19 14:49:26 - +1, 080.0, 079.9,0, 28.5,+00.0,+000.0
2026-03-19 14:49:30 - +1, 020.0, 076.8,2, 28.6,+00.6,+191.4
2026-03-19 14:49:31 - +1, 020.0, 059.0,2, 28.7,+00.6,+285.2
2026-03-19 14:49:31 - +1, 080.0, 059.3,1, 28.7,-00.6,+304.7
