2026-03-19 14:49:45 - test_number,setpoint_position_%,feedback_position_,rotation_direction,internal_temperature_deg_C,motor_torque_Nmm,power_W
2026-03-19 14:49:45 - +1, 080.0, 079.9,0, 28.7,+00.0,+000.0
2026-03-19 14:49:45 - +1, 020.0, 079.9,2, 28.7,-00.0,+011.7
2026-03-19 14:49:46 - +1, 020.0, 079.7,2, 28.7,+00.8,+445.3
2026-03-19 14:49:47 - +1, 020.0, 074.9,2, 28.8,+00.6,+105.5
