2026-03-19 14:50:25 - test_number,setpoint_position_%,feedback_position_,rotation_direction,internal_temperature_deg_C,motor_torque_Nmm,power_W
2026-03-19 14:50:26 - +1, 080.0, 079.9,0, 29.0,+00.0,+000.0
2026-03-19 14:50:26 - +1, 020.0, 075.9,2, 29.0,+00.6,+179.7
2026-03-19 14:50:27 - +1, 020.0, 074.4,2, 29.0,+00.6,+246.1
2026-03-19 14:50:30 - +1, 020.0, 071.0,2, 29.0,+00.6,+281.2
2026-03-19 14:50:31 - +1, 020.0, 057.6,2, 29.1,+00.6,+257.8
2026-03-19 14:50:33 - +1, 080.0, 059.8,1, 29.1,-00.6,+068.4
2026-03-19 14:50:36 - +1, 080.0, 071.8,1, 29.1,-00.6,+296.9
2026-03-19 14:50:44 - +1, 080.0, 079.9,0, 29.1,+00.0,+000.0
